"","tdif","terms"
"inform",-0.559555733486645,"inform"
"ideal",-0.559572527067444,"ideal"
"overal",-0.560329541118297,"overal"
"former",-0.560648643978168,"former"
"mistak",-0.560861655528444,"mistak"
"action",-0.562801627674738,"action"
"guarante",-0.563400032307117,"guarante"
"mess",-0.563686414519036,"mess"
"approach",-0.563929105354089,"approach"
"particularli",-0.564275065861162,"particularli"
"flash",-0.564998469647401,"flash"
"commerci",-0.565353898629839,"commerci"
"javascript",-0.565677602289326,"javascript"
"desir",-0.566451330823366,"desir"
"deriv",-0.566634447848141,"deriv"
"harder",-0.567708788887598,"harder"
"anim",-0.569212874407242,"anim"
"raw",-0.569528449387374,"raw"
"grand",-0.569910724961986,"grand"
"score",-0.571306792743792,"score"
"deliv",-0.571812635874014,"deliv"
"destroy",-0.572894412606449,"destroy"
"spread",-0.57445297164709,"spread"
"wild",-0.574603865104068,"wild"
"fbi",-0.574722529164062,"fbi"
"stabl",-0.574899156625008,"stabl"
"forum",-0.575192665139096,"forum"
"debug",-0.576264579301785,"debug"
"embed",-0.577366180843091,"embed"
"unix",-0.577777625344424,"unix"
"inject",-0.578395597938935,"inject"
"respond",-0.578917805636889,"respond"
"situat",-0.579012947288272,"situat"
"util",-0.580180068410066,"util"
"caught",-0.580439798941298,"caught"
"alert",-0.580808549158282,"alert"
"ring",-0.581500271954319,"ring"
"player",-0.581710319569943,"player"
"kali",-0.582116522851515,"kali"
"dvd",-0.582142991192348,"dvd"
"programm",-0.582177767541375,"programm"
"intent",-0.582815388063436,"intent"
"slower",-0.583369908328832,"slower"
"assembl",-0.584115439144989,"assembl"
"size",-0.584298621728438,"size"
"phish",-0.585217858808605,"phish"
"defend",-0.585824303775808,"defend"
"crash",-0.585928293560706,"crash"
"legitim",-0.585950479601185,"legitim"
"reader",-0.588242555267436,"reader"
"univers",-0.590758038558979,"univers"
"strang",-0.591383224889384,"strang"
"integ",-0.591631651420997,"integ"
"wipe",-0.591829271168645,"wipe"
"ident",-0.592636952478752,"ident"
"isp",-0.593465734430094,"isp"
"tab",-0.59378838865536,"tab"
"prior",-0.594017601708669,"prior"
"ship",-0.594909292441057,"ship"
"flaw",-0.594938659940049,"flaw"
"suit",-0.596392538947546,"suit"
"numer",-0.596842732808389,"numer"
"expand",-0.599709807139696,"expand"
"duplic",-0.601903857944635,"duplic"
"render",-0.602175059954436,"render"
"measur",-0.604963593117883,"measur"
"calcul",-0.605420228793619,"calcul"
"recogn",-0.605505330805355,"recogn"
"cisco",-0.608109745508141,"cisco"
"decrypt",-0.608643328573713,"decrypt"
"youtub",-0.608669651242628,"youtub"
"evalu",-0.609051077991185,"evalu"
"arbitrari",-0.609276397342556,"arbitrari"
"mainli",-0.609616392957623,"mainli"
"promis",-0.609870175918656,"promis"
"flag",-0.610409231008293,"flag"
"undefin",-0.610547459658789,"undefin"
"demonstr",-0.610646920211647,"demonstr"
"experienc",-0.611160777909906,"experienc"
"dumb",-0.612011464294432,"dumb"
"interpret",-0.612591927857661,"interpret"
"extract",-0.612855567409646,"extract"
"core",-0.613177396840822,"core"
"serial",-0.613410236230327,"serial"
"foreign",-0.614343406364898,"foreign"
"lab",-0.614947965709296,"lab"
"expert",-0.61535004205634,"expert"
"honest",-0.615358345083789,"honest"
"tradit",-0.616125565835331,"tradit"
"accident",-0.617158801642927,"accident"
"restor",-0.617315457913535,"restor"
"technolog",-0.61770251468281,"technolog"
"bank",-0.618373860691766,"bank"
"titl",-0.618790015782761,"titl"
"impress",-0.61904429345309,"impress"
"rid",-0.619476995583361,"rid"
"float",-0.620062234126691,"float"
"php",-0.620459436064253,"php"
"minor",-0.620679225925945,"minor"
"syntax",-0.62076216963006,"syntax"
"fundament",-0.62144542023809,"fundament"
"dark",-0.621793720514625,"dark"
"alloc",-0.623948614653,"alloc"
"plugin",-0.624175466262728,"plugin"
"scale",-0.624518848135636,"scale"
"pure",-0.627560568032957,"pure"
"disagre",-0.628333090210122,"disagre"
"resid",-0.629009545578542,"resid"
"frequent",-0.629889917875339,"frequent"
"remind",-0.63116265773089,"remind"
"plenti",-0.631343314104582,"plenti"
"bind",-0.631756260289718,"bind"
"index",-0.631979820300001,"index"
"button",-0.632192366411521,"button"
"prime",-0.633446103320573,"prime"
"compat",-0.633775458544912,"compat"
"chat",-0.633836883320395,"chat"
"canada",-0.63446582005969,"canada"
"forev",-0.634715345096624,"forev"
"shell",-0.635036466396056,"shell"
"stori",-0.636021734485962,"stori"
"screw",-0.636109744220615,"screw"
"wall",-0.636368728219187,"wall"
"repositori",-0.637128717977466,"repositori"
"argu",-0.637406963030636,"argu"
"law",-0.637763747334521,"law"
"dollar",-0.638090307007366,"dollar"
"layer",-0.639375275912526,"layer"
"escap",-0.639890788830778,"escap"
"trigger",-0.640088456592391,"trigger"
"visibl",-0.640158134017275,"visibl"
"recip",-0.640784478438275,"recip"
"environ",-0.641032909734391,"environ"
"kind",-0.641301331127413,"kind"
"plug",-0.641473355985364,"plug"
"either",-0.641786394096147,"either"
"templat",-0.642243708467496,"templat"
"wow",-0.643108657869817,"wow"
"speed",-0.643212253009335,"speed"
"ping",-0.643392498883013,"ping"
"bar",-0.643558367959931,"bar"
"flask",-0.643986725191399,"flask"
"memori",-0.644679941565213,"memori"
"impli",-0.646498186198857,"impli"
"minim",-0.647549030210854,"minim"
"itun",-0.648060796248395,"itun"
"employ",-0.648074700640839,"employ"
"oscp",-0.648342928372032,"oscp"
"fedora",-0.649284242041823,"fedora"
"css",-0.649370778488996,"css"
"broke",-0.649541152556137,"broke"
"establish",-0.64955272942826,"establish"
"advis",-0.649711333155568,"advis"
"race",-0.64972589346837,"race"
"wikileak",-0.649935433746373,"wikileak"
"contribut",-0.65042366353422,"contribut"
"restart",-0.650615296829332,"restart"
"repeat.",-0.651119533957594,"repeat."
"purchas",-0.653118883905962,"purchas"
"trivial",-0.653633233183384,"trivial"
"invit",-0.653905480051111,"invit"
"snap",-0.654517344935084,"snap"
"letter",-0.654792227327683,"letter"
"privileg",-0.65495564971409,"privileg"
"readabl",-0.655296376038324,"readabl"
"label",-0.655377432805837,"label"
"theme",-0.655691215374873,"theme"
"complain",-0.65687143662415,"complain"
"config",-0.65754915654791,"config"
"structur",-0.658073218279357,"structur"
"proprietari",-0.658327473705635,"proprietari"
"prompt",-0.658705671564288,"prompt"
"electron",-0.658879968309138,"electron"
"bio",-0.659131284234129,"bio"
"ssh",-0.660381587646219,"ssh"
"grant",-0.661323552599929,"grant"
"arriv",-0.661409903410795,"arriv"
"cpu",-0.661939035527435,"cpu"
"randomli",-0.66236434372278,"randomli"
"usag",-0.662858442305226,"usag"
"gmail",-0.662889078337312,"gmail"
"shot",-0.665170878310136,"shot"
"qualifi",-0.665342986528271,"qualifi"
"headphon",-0.666743771686173,"headphon"
"jump",-0.668497589012444,"jump"
"archiv",-0.668634780803449,"archiv"
"sock",-0.669292173276566,"sock"
"consol",-0.671493890062581,"consol"
"feed",-0.672987678352753,"feed"
"risk",-0.674394161219367,"risk"
"screenshot",-0.67571437294497,"screenshot"
"agenc",-0.676709230406665,"agenc"
"ugli",-0.67683196277782,"ugli"
"compet",-0.677189109989783,"compet"
"interview",-0.677549529553603,"interview"
"januari",-0.677737068702144,"januari"
"door",-0.677915511359656,"door"
"creativ",-0.678159979580743,"creativ"
"echo",-0.678326848447631,"echo"
"subscrib",-0.67994293528351,"subscrib"
"disclos",-0.680384029415255,"disclos"
"giant",-0.680633713674415,"giant"
"construct",-0.682056155181132,"construct"
"vlan",-0.6822520785326,"vlan"
"captur",-0.683207660031156,"captur"
"camera",-0.683680003372517,"camera"
"accur",-0.68433808755102,"accur"
"github",-0.684695686787437,"github"
"focu",-0.684766657641666,"focu"
"propos",-0.684879339117996,"propos"
"comfort",-0.68565576689279,"comfort"
"ebook",-0.68572187824213,"ebook"
"skip",-0.685741351049298,"skip"
"hang",-0.686271613608109,"hang"
"font",-0.686290331751366,"font"
"append",-0.686301143762016,"append"
"valuabl",-0.686527562494278,"valuabl"
"transfer",-0.687717163841014,"transfer"
"column",-0.687745820020228,"column"
"tire",-0.68796459151455,"tire"
"articl",-0.6886023672047,"articl"
"icon",-0.688779640809918,"icon"
"temporari",-0.689730014313672,"temporari"
"tough",-0.689901489581013,"tough"
"brows",-0.690088961165975,"brows"
"authent",-0.690365493871531,"authent"
"analyz",-0.691082081236579,"analyz"
"exam",-0.691375115913569,"exam"
"invok",-0.69186929008121,"invok"
"aim",-0.691941734454218,"aim"
"govern",-0.692831229975108,"govern"
"publicli",-0.693623384549748,"publicli"
"referenc",-0.6946170367859,"referenc"
"session",-0.694714443904288,"session"
"administr",-0.695071829680379,"administr"
"predict",-0.695252695944142,"predict"
"refus",-0.695838740756705,"refus"
"educ",-0.695855505243596,"educ"
"ridicul",-0.696518896504072,"ridicul"
"silli",-0.69671269815073,"silli"
"ethic",-0.697027158917239,"ethic"
"adapt",-0.697553782119375,"adapt"
"novel",-0.698160412347269,"novel"
"conflict",-0.698807642322383,"conflict"
"visa",-0.699548371659422,"visa"
"clone",-0.701033768724964,"clone"
"framework",-0.701301598529858,"framework"
"cabl",-0.701396079819022,"cabl"
"inherit",-0.701657695407233,"inherit"
"invalid",-0.701998792104044,"invalid"
"oppos",-0.702047847532074,"oppos"
"advantag",-0.702496991093619,"advantag"
"retriev",-0.703078332539246,"retriev"
"polici",-0.704418420867996,"polici"
"hardwar",-0.704498369008899,"hardwar"
"donat",-0.704507283105082,"donat"
"hook",-0.704771084807486,"hook"
"unlik",-0.7049140826844,"unlik"
"press",-0.705401255500846,"press"
"explor",-0.705705400614979,"explor"
"unabl",-0.705960365427853,"unabl"
"offic",-0.706825215222786,"offic"
"cryptograph",-0.707366904930365,"cryptograph"
"flat",-0.707610034545615,"flat"
"unlock",-0.708885781097304,"unlock"
"encount",-0.709173767262883,"encount"
"ram",-0.709512231879843,"ram"
"mode",-0.710224974523313,"mode"
"nail",-0.7108419493968,"nail"
"aspect",-0.710978477919563,"aspect"
"minimum",-0.711828150053007,"minimum"
"materi",-0.712365237574974,"materi"
"unnecessari",-0.712674008408382,"unnecessari"
"signatur",-0.713267035495501,"signatur"
"horribl",-0.71366288273184,"horribl"
"partial",-0.71380852199406,"partial"
"infosec",-0.713897387357621,"infosec"
"opposit",-0.714172583838828,"opposit"
"earn",-0.714222592657184,"earn"
"threat",-0.714523838140161,"threat"
"recov",-0.715864993284928,"recov"
"disk",-0.71666866393397,"disk"
"februari",-0.717363708545611,"februari"
"suffici",-0.718246795709885,"suffici"
"reboot",-0.719013783132488,"reboot"
"wire",-0.719098725915379,"wire"
"refresh",-0.719189891020645,"refresh"
"indian",-0.719584333121392,"indian"
"recurs",-0.720350440930567,"recurs"
"market",-0.720526255518815,"market"
"convinc",-0.721707959268682,"convinc"
"pain",-0.722871202604373,"pain"
"symbol",-0.723220758471649,"symbol"
"impact",-0.723834148514384,"impact"
"bitcoin",-0.725010472565428,"bitcoin"
"scope",-0.725130153570094,"scope"
"admit",-0.72560193434174,"admit"
"strongli",-0.725713953486944,"strongli"
"scenario",-0.726340555144464,"scenario"
"sysadmin",-0.726390537980756,"sysadmin"
"demand",-0.727008368796738,"demand"
"invest",-0.727077216433166,"invest"
"engag",-0.728418418612126,"engag"
"split",-0.728590302390774,"split"
"sync",-0.729283475117872,"sync"
"audio",-0.729544443286631,"audio"
"correspond",-0.730300499035106,"correspond"
"reflect",-0.730584652188372,"reflect"
"corrupt",-0.730606987225771,"corrupt"
"lazi",-0.731061865293193,"lazi"
"chip",-0.731176471381354,"chip"
"dual",-0.731516716568722,"dual"
"iphon",-0.732059049010146,"iphon"
"promot",-0.732097317764246,"promot"
"spot",-0.732352637922272,"spot"
"encourag",-0.732979693844188,"encourag"
"translat",-0.734347911313427,"translat"
"bare",-0.734607368429786,"bare"
"evil",-0.735772027606972,"evil"
"manufactur",-0.736121274708565,"manufactur"
"attend",-0.736982968144481,"attend"
"theoret",-0.737926080337893,"theoret"
"surviv",-0.738034658361929,"surviv"
"kde",-0.738426755174311,"kde"
"persist",-0.739014291032013,"persist"
"explicit",-0.739645231595759,"explicit"
"convers",-0.739755010072695,"convers"
"brand",-0.740103114945821,"brand"
"advertis",-0.740962727289796,"advertis"
"length",-0.742654091621788,"length"
"amount",-0.743226548978153,"amount"
"approv",-0.743395408842629,"approv"
"strict",-0.743500123734944,"strict"
"luck",-0.743649165220932,"luck"
"west",-0.744350450301701,"west"
"offlin",-0.74455124481873,"offlin"
"rose",-0.74457461948305,"rose"
"struggl",-0.745578246260336,"struggl"
"soft",-0.747589292809146,"soft"
"adjust",-0.747713166813634,"adjust"
"enterpris",-0.747870887275362,"enterpris"
"fund",-0.748047951373541,"fund"
"eleg",-0.748601614925017,"eleg"
"gather",-0.748892412716842,"gather"
"maximum",-0.74966932263148,"maximum"
"mere",-0.750412609026164,"mere"
"rich",-0.751399379234877,"rich"
"upcom",-0.751885224915558,"upcom"
"plain",-0.751947306816461,"plain"
"notifi",-0.752553291913554,"notifi"
"brilliant",-0.75323568456403,"brilliant"
"usabl",-0.754077492482781,"usabl"
"underli",-0.754369787556465,"underli"
"outdat",-0.756187105960684,"outdat"
"flexibl",-0.756442299081901,"flexibl"
"anniversari",-0.75652702866543,"anniversari"
